"NUM_CNPJ,""ID_CIDADE"",""ID_CNAE"",""ORIGEM"""
"14692696000179,2899,750,""CONCORRENTE"""
"23170842000197,5920,1021,""SPC"""
"22703864000102,5626,1007,""CONCORRENTE"""
"92558428000172,9921,,""CONCORRENTE"""
"9413829000190,2044,535,""CONCORRENTE"""
"22959989000106,5789,1016,""SPC"""
"19684092000102,4401,853,""CONCORRENTE"""
"12071150000175,2298,602,""SPC"""
"77788115000117,8745,,""CONCORRENTE"""
"14728044000147,2980,764,""CONCORRENTE"""
"34608420000177,8255,1263,""SPC"""
"22734210000146,5665,1007,""SPC"""
"33308600000170,7943,1206,""CONCORRENTE"""
"24701135000142,6115,1028,""SPC"""
"19936208000226,4511,857,""SPC"""
"3972196000689,988,171,""CONCORRENTE"""
"17193354000100,3632,833,""SPC"""
"32667308000181,7696,1156,""SPC"""
"79603247000152,8783,,""SPC"""
"17913448000107,4017,841,""SPC"""
"35895653000160,8504,1354,""CONCORRENTE"""
"18751525000124,4141,844,""SPC"""
"22487610000102,5406,985,""CONCORRENTE"""
"21780126000104,5136,939,""SPC"""
"22522719000125,5406,988,""CONCORRENTE"""
"15673227000175,3315,823,""CONCORRENTE"""
"1609448000170,243,160,""CONCORRENTE"""
"28769557000100,7043,1052,""CONCORRENTE"""
"4571430000114,988,178,""SPC"""
"33263516000188,7918,1201,""SPC"""
"22164673000110,5362,951,""CONCORRENTE"""
"11901425000198,2234,598,""SPC"""
"16717169000105,3462,833,""CONCORRENTE"""
"33567503000100,7994,1224,""SPC"""
"10710478000169,2125,586,""CONCORRENTE"""
"33360428000102,7953,1209,""CONCORRENTE"""
"30539266000178,7062,1094,""CONCORRENTE"""
"29058004000102,7043,1058,""SPC"""
"10721824000104,2143,586,""SPC"""
"1112783000168,217,160,""SPC"""
"21926166000103,5285,940,""SPC"""
"22923149000185,5780,1014,""SPC"""
"27085604000134,6912,1047,""CONCORRENTE"""
"16710574000193,3460,833,""SPC"""
"31760383000120,7254,1130,""SPC"""
"16562179000100,3448,833,""SPC"""
"12924609000136,2587,645,""SPC"""
"18131120000193,4048,843,""SPC"""
